pCTRtest
;pCTR
0;0.00031916895950139906
1;0.004072516314263795
2;0.0008868245946258579
3;0.0005126699548452899
4;0.0005884069802916162
5;0.0005608243092894209
6;0.0003691537378677208
7;0.000899811181232215
8;0.0005584488111109166
9;0.0002816169446882562
10;0.0003560471612710533
11;0.001521394499618981
12;0.00041015303719615394
13;0.0007548311242772173
14;0.000430338407838962
15;0.000522895745813311
16;0.0005159289144654617
17;0.0010599205809167765
18;0.0004514959989099105
19;0.0009489748837832598
20;0.0018004592658660233
21;0.0003354142045506458
22;9.768373993938715e-07
23;0.0014428403666120432
24;0.00017085089237719444
25;0.0039449224224499275
26;0.0003089708243044416
27;0.00113469645689636
28;0.0004465075595092824
29;0.00045498866633885603
30;0.00046792793374573897
31;0.0010648876442180555
32;0.0003729149951262951
33;0.0004257155958750778
34;0.0006998811945407136
35;0.000230836378702112
36;0.000722550726419787
37;0.0005727522106930117
38;0.00037339528530091305
39;0.0005709369665244868
40;0.00022095031031617893
41;0.000435441023873455
42;9.757422735635286e-05
43;0.0010299213322773147
44;0.0002328974739626092
45;0.00046016153431542405
46;0.0007880708445796769
47;0.00025457002978492547
48;5.6040520519896275e-05
49;0.0006313966743016351
50;0.0008031754704209896
51;0.0009120773679577612
52;0.0004365529024474906
53;0.00016419748798705264
54;0.0002720204127180079
55;0.0006761064244837302
56;0.0013894243002962213
57;0.00022045158008093634
58;0.0010161051525941272
59;0.00018625831645427377
60;0.0003688352162222033
61;0.0004214425204863896
62;0.0012077890527901459
63;0.0009604406492762758
64;0.00026589949752311146
65;0.0005497300763577079
66;0.0010838104865332153
67;0.0009439460740158167
68;0.00019197709898937892
69;0.0004977929053646803
70;0.0013546529089929955
71;0.000844478741314563
72;0.00042217778506385266
73;0.0008801046482938208
74;0.0006112625590806465
75;0.0008832710914853091
76;0.00046449962555027396
77;0.0007693627530502263
78;0.0005138070689553087
79;0.00020284536179193102
80;0.0012248977578401836
81;0.0002912067116170711
82;0.0010382690444309432
83;0.00018657768515900668
84;1.254895553396422e-06
85;0.0006166958124351617
86;0.00029299000288465234
87;0.00031770792651266555
88;0.00015924445042509393
89;0.00149158425541917
90;0.00025567023198597307
91;0.0012112116166279772
92;0.0004279964275481813
93;0.00033315072047901135
94;0.001511540307588047
